"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Enhancing Real-Time Clinical Decision-Making through AI-Integrated FHIR Solutions: A Medplum Implementation","T. K. H. Le; W. Kongsiriwattana; C. Nimyungdee; R. Kaewsaeng-On; A. Meny; K. Namee","Vietnam - Korea University of Information and Communications Technology, University of Danang, Danang, Vietnam; Faculty of Industrial Technology and Management, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; Primaham(Thailand) Co., LTD., Prachinburi, Thaialnd; Prince of Songkla University, Songkla, Thailand; King Saud bin Abdulaziz University for Health Sciences, Jeddah, Saudi Arabia; Faculty of Industrial Technology and Management, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand",2024 International Conference on Intelligent Computing and Next Generation Networks (ICNGN),"14 Feb 2025","2024","","","1","5","In recent years, the healthcare sector has experienced rapid advancements in data interoperability, artificial intelligence (AI), and real-time decision support systems. Fast Healthcare Interoperability Resources (FHIR), an open standard for healthcare data sharing, has emerged as a key framework for facilitating interoperability among healthcare platforms. This paper presents a comprehensive analysis of integrating FHIR with Medplum, an open-source platform, to enhance real-time clinical decision-making through AI-driven solutions. The system was evaluated in real-world settings, demonstrating significant improvements in both efficiency and accuracy. The AI-powered clinical documentation system reduced the time healthcare providers spent on paperwork by 50%, enabling them to allocate more time to direct patient care. Furthermore, the system lowered documentation error rates from 6% to 2% under low-load conditions and from 10% to 4% under high-load conditions, resulting in an average error reduction of 60%. Additionally, the system exhibited strong scalability, maintaining acceptable response times as the number of users increased. Response times rose from 50 milliseconds (ms) under low-load conditions to 300 ms under extremely high-load conditions (1000 users).","","979-8-3315-2922-2","10.1109/ICNGN63705.2024.10871916","King Mongkut's University of Technology North Bangkok(grant numbers:KMUTNB-65-BASIC-41); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10871916","FHIR;Medplum;Real-time Decision Support;AI in Healthcare;Healthcare Interoperability","Error analysis;Scalability;Medical services;Documentation;Real-time systems;Time factors;Artificial intelligence;Interoperability;Standards;Next generation networking","","","","11","IEEE","14 Feb 2025","","","IEEE","IEEE Conferences"
"Medical Device Integration for Clinical Decision Support System using SMART on FHIR","B. Gokul","Digital Products and Services, L&T Technology Services Ltd., Mysuru, India","2022 Fourth International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)","15 Mar 2023","2022","","","1","5","With the advancement in healthcare technology, sharing of the healthcare data has become a primary need for the hospitals and the diagnostic centers. Exchange of healthcare data usually follows HL7 (Health Level 7) standard. Latest among HL7 is FHIR (Fast Healthcare Interoperability Resources). In this paper, we look into an idea to connect the diagnostic devices such as hematology analyzers with the Electronic Medical Records (EMR), to transfer the analysis to the care givers as soon it is done. We also provide an example of how this can be used in early detection of some of the medical conditions such as sepsis, chronic conditions, and other clinical decision support systems, where it needs immediate treatment from the care givers and how the SMART on FHIR helps to achieve the same","","978-1-6654-5635-7","10.1109/ICERECT56837.2022.10060121","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060121","SMART on FHIR;Healthcare Data Exchange;HL7;EMR;CDSS","Decision support systems;Pediatrics;Ventilators;Medical devices;Surgery;Sepsis;Prediction algorithms","","","","14","IEEE","15 Mar 2023","","","IEEE","IEEE Conferences"
"A Patient-Centric Interoperable, Quorum-based Healthcare System for Sharing Clinical Data","M. George; A. M. Chacko","Dept.of CSE, National Institute of Technology, Calicut, Kerala, India; Dept.of CSE, National Institute of Technology, Calicut, Kerala, India",2022 International Conference for Advancement in Technology (ICONAT),"10 Mar 2022","2022","","","1","6","In the current Electronic Medical Record (EMR) systems, the healthcare organizations have the ownership of patient's EMR. Patients have only limited information of the EMR in the form of discharge summary and reports. This was viewed a problem in eHealth consultations during a pandemic like COVID-19, when doctors does not have access to patient data. Patient is the owner of the data and patient should have control over his medical data and should be able to share the data according to his requirement. So currently work is being undertaken to develop patient-centric EMR system. One major challenge here is to ensure the privacy and access management of data being accessed and shared. This paper aims to solve these challenges by using a permissioned blockchain network based FHIR solution for secure interoperability. The proposed system was evaluated by developing a prototype on Quorum Blockchain. The throughput and latency characteristics of the system was analyzed with different workloads and results was promising.","","978-1-6654-2577-3","10.1109/ICONAT53423.2022.9725924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725924","Interoperability;Electronic Medical Record(EMR);Quorum Blockchain;Patient-Centric;Healthcare","Hospitals;Pandemics;Prototypes;Organizations;Throughput;Real-time systems;Blockchains","","8","","9","IEEE","10 Mar 2022","","","IEEE","IEEE Conferences"
"GraphQL Patient Case Presentation using the Problem Oriented Medical Record Schema","S. Mohammed; J. Fiaidhi; D. Sawyer","Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","4738","4744","Physicians and Clerkships follow the SOAP note in describing and presenting patient cases. The SOAP note was originated from the problem-oriented medical record (POMR) developed nearly 60 years ago by Lawrence Weed, MD. However, the POMR/SOAP is not commonly found in electronic medical records (EMR) used today due to the flexible nature of building patient cases that requires complex harmonization with variety of patient case schemas. In this article we attempted to use the GraphQL API for harmonizing patient case data communicated with different care interface and providing the query on the data. This harmonization interface is called QL4POMR as a GraphQL implementation to the POMR SOAP note. Physicians can used this interface to describe and present any patient case for the purpose of diagnosis and prognosis with a varying backend. The QL4POMR implemented a mapping module to map graphs from POMR to HL7 FHIR and vise versa.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671394","POMR;SOAP;GraphQL;e-Diagnosis;HL7 FHIR;Patient Case Presentation","Social networking (online);Soft sensors;Semantics;Medical services;Big Data;Predictive models;Simple object access protocol","","6","","10","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"AIDEx - An Open-source Platform for Real-Time Forecasting Sepsis and A Case Study on Taking ML Algorithms to Production","F. Amrollahi; S. P. Shashikumar; P. Kathiravelu; A. Sharma; S. Nemati","Division of Biomedical Informatics, University of California San Diego, La Jolla, CA; Division of Biomedical Informatics, University of California San Diego, La Jolla, CA; Department of Biomedical Informatics, Emory University Atlanta, GA; Department of Biomedical Informatics, Emory University Atlanta, GA; Division of Biomedical Informatics, University of California San Diego, La Jolla, CA",2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"27 Aug 2020","2020","","","5610","5614","Sepsis, a dysregulated immune response to infection, has been the leading cause of morbidity and mortality in critically ill patients. Multiple studies have demonstrated improved survival outcomes when early treatment is initiated for septic patients. In our previous work, we developed a real-time machine learning algorithm capable of predicting onset of sepsis four to six hours prior to clinical recognition. In this work, we develop AIDEx, an open-source platform that consumes data as FHIR resources. It is capable of consuming live patient data, securely transporting it into a cloud environment, and monitoring patients in real-time. We build AIDEx as an EHR vendor-agnostic open-source platform that can be easily deployed in clinical environments. Finally, the computation of the sepsis risk scores uses a common design pattern that is seen in streaming clinical informatics and predictive analytics applications. AIDEx provides a comprehensive case study in the design and development of a production-ready ML platform that integrates with Healthcare IT systems.","2694-0604","978-1-7281-1990-8","10.1109/EMBC44109.2020.9175947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9175947","","Sociology;Statistics;Real-time systems;Prediction algorithms;Medical services;Machine learning;Databases","Algorithms;Critical Illness;Humans;Machine Learning;Medical Informatics;Sepsis","6","","19","IEEE","27 Aug 2020","","","IEEE","IEEE Conferences"
"Use of HL7 FHIR to structure data in epilepsy self-management applications","S. Houta; T. Ameler; R. Surges","Digitalization in Healthcare, Fraunhofer Institute for Software and Systems Engineering, Dortmund, Germany; Digitalization in Healthcare, Fraunhofer Institute for Software and Systems Engineering, Dortmund, Germany; Department of Epileptology, University Hospital Bonn, Germany","2019 International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","5 Dec 2019","2019","","","111","115","The expansion of health infrastructure to support the networking of actors in the healthcare system is rapidly growing and is forced by law in several nations. The solutions are based on international standards to ensure interoperability of existing and new health applications and future viability. In the EPItect project, a telemedicine infrastructure for epilepsy care was developed. This paper presents part of the conceptual work and focuses on the structural and semantic standardization of epilepsy data based on the international standard HL7 FHIR. The main contribution of this work is an implementation guide for the exchange of epilepsy related data between epilepsy self-management applications and health infrastructures.","2160-4894","978-1-7281-3316-4","10.1109/WiMOB.2019.8923179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8923179","Epilepsy;Seizures;EPItect;Wearables;Mobile Application;HL7 FHIR","Epilepsy;Standards;Medical treatment;Brain modeling;Documentation;Mobile applications","","5","","24","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"mHealth4Afrika – Co-Designing a Standards based Solution for Use in Resource Constrained Primary Healthcare Facilities","P. M. Cunningham; M. Cunningham","Director, IST-Africa Institute, and President & CEO, IIMC, Dublin, Ireland; Director, IST-Africa Institute, and President & CEO, IIMC, Dublin, Ireland",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","4289","4292","Supported by the European Commission under Horizon 2020, mHealth4Afrika is co-designing and validating a modular, multilingual, state-of-the-art primary healthcare platform for use in resource constrained environments. Based on active consultation and collaboration with Ministries of Health (MoH), district health officers, clinic managers and primary healthcare workers from urban, rural and deep rural health centres in Ethiopia, Kenya, Malawi and South Africa, mHealth4Afrika has co-designed a comprehensive range of health programs and associated functionality. This paper provides insights into how mHealth4Afrika is supporting a holistic, patient-centric, standards-based ""cradle to grave"" approach to replacing paper-based registries and program-specific (or siloed) electronic solutions installed in many cases by donors targeting specific diseases. mHealth4Afrika is a HL7 FHIR-based platform integrating Electronic Medical Record (EMR) and Electronic Health Record (EHR) functionality, leveraging medical sensors and decision support at the point of care, saving time associated with monthly aggregate data reporting and encouraging attendance through SMS communications with clients and community health workers.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856860","","Sensors;Medical diagnostic imaging;Interoperability;Standards;Electronic medical records;Electronic healthcare","Ambulatory Care Facilities;Electronic Health Records;Ethiopia;Health Personnel;Health Resources;Humans;Kenya;Malawi;Primary Health Care;South Africa;Telemedicine","5","","26","CCBY","7 Oct 2019","","","IEEE","IEEE Conferences"
"A Middleware to Support HL7 Standards for the Integration between Healthcare Applications","T. M. Alenazi; A. A. Alhamed","Department of Information Systems, King Saud University, Riyadh, Saudi Arabia; Department of Information Systems, King Saud University, Riyadh, Saudi Arabia",2015 International Conference on Healthcare Informatics,"10 Dec 2015","2015","","","509","512","In this paper, we implemented a scalable plug-in middleware to process different HL7 versions (Version 2, Version 3, FHIR). The middleware solves incompliance, prevents security breaches, and increases the message transfer reliability. The middleware consists of four components, each having certain logic. Some of these components are optional, in that, the HL7 message is not required to pass through them. Once the HL7 message is received, the middleware applies the reliability and validation logic. It then passes the message to the rest of the components that may modify the content of the message, once successfully updated only then will it be delivered to the intended destination. The experiments show that the middleware can exchange different HL7 message versions efficiently, accomplishing conversion and increasing levels of privacy quickly.","","978-1-4673-9548-9","10.1109/ICHI.2015.93","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349755","HL7;Systems Integration;interoperability;Middleware;Healthcare","Middleware;Medical services;Standards;Data mining;Informatics;Reliability;Industries","","4","","17","IEEE","10 Dec 2015","","","IEEE","IEEE Conferences"
"A Prototype of the National EHR system for Cyprus","M. Papaioannou; A. Neocleous; P. Savva; F. Miguel; A. Panayides; Z. Antoniou; M. Neofytou; E. C. Schiza; K. Neokleous; I. Constantinou; G. Panos; C. S. Pattichis; C. N. Schizas","Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus; Department of Computer Science, eHealth Laboratory, University of Cyprus, Nicosia, Cyprus",2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"9 Dec 2021","2021","","","2159","2162","The aim of this paper is to present Cyprus’ initiative for the design and the implementation of the prototype of the integrated electronic health record at a national level that will establish the foundations of the country’s broader eHealth ecosystem. The latter, requires an interdisciplinary approach and scientific collaboration among various fields, including medicine, information and communication technologies, management, and finance, among others. The objective, is to design the system architecture, specify the requirements in terms of clinical content as well as the hardware infrastructure, but also implement European and national legislation with respect to privacy and security that govern sensitive medical data manipulation. The present study summarizes the outcomes of the 1st phase of this initiative, which comprises of the healthcare as well as the administrative requirements, user stories, data-flows and associated functionality. Moreover, leveraging the HL7 Fast Healthcare Interoperability Resources (FHIR) standard we highlight the concluded interoperability framework that allows genuine cross-system communication and defines third-party systems connectivity.Clinical Relevance— This work is strongly correlated with medicine since it describes the system requirements and the architecture of a national integrated electronic health records system.","2694-0604","978-1-7281-1179-7","10.1109/EMBC46164.2021.9630760","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9630760","","Data privacy;Terminology;Prototypes;Legislation;Europe;Systems architecture;Servers","Cyprus;Ecosystem;Electronic Health Records;Software;Telemedicine","3","","17","IEEE","9 Dec 2021","","","IEEE","IEEE Conferences"
"Problem Oriented Medical Translational Services based on GraphQL Connectivity","S. Mohammed; J. Fiaidhi; D. Sawyer","Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada",ICC 2022 - IEEE International Conference on Communications,"11 Aug 2022","2022","","","3844","3849","Research in translational medicine (TM) is growing rapidly due to the growing believe that most valuable data source for the biomedical discoveries come from the basic research on clinical care extracted from patient cases descriptions. Bridging the clinical care findings at the bedside with the biomedical knowledge at the bench provide insights that can improve patient outcomes and lead to the development of new drugs and therapies. Research on translational medicine gained a great deal of prominence through the establishment of governmental and institutional boards like the US Clinical and Translational Science Awards (CTSA) and the EU Seventh Framework Program (FP7). TM research is ultimately requires data integration on a massive scale between variety of clinical data. In order to accelerate medical discovery, the integration of biomedical data needs to happen both at the physician point of care level via the electronic health records (EHRs) and at bench top applications and repositories. However, data integration is a great challenge to healthcare as the legacy technologies used are built around the REST APIs to get data into these biomedical applications and systems. The REST protocol is aging as it has been the technology used for the last 20 years. Major information technology venders like Facebook and Google have replaced REST with GraphQL allowing changes on the client side to fetch new data from the server without the need for extra work on the server. In this paper we are describing our efforts to integrate the problem oriented medical record (called QL4POMR that is based on GraphQL) which has been defined around the notion of SOAP (Subjective, Objective, Assessment and Planning) to describe patient cases with the HL7 FHIR electronic record and the HL7 IPS patient summary as well as with other external biomedical repositories like the OpenTargets and the Drug Bank. The integration has been described via adding a data layer on top of the QL4POMR to enable the schema integration and querying from all these external sources via the GraphQL server. Our initial experimentations show success in discovering drug adverse events and in recommending alternative drugs at the time of prescribing new medication to patients and completing the planning section of SOAP. More research will continue to draw other translational associations based on the integration provided by our QL4POMR framework with OpenTargets and Drug Bank.","1938-1883","978-1-5386-8347-7","10.1109/ICC45855.2022.9838418","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9838418","Problem Oriented Medical Record (POMR);SOAP Note;QL4POMR;Medical Translation Informatics;GraphQL;OpenTargets","Drugs;Translational research;Data integration;Planning;Electronic healthcare;Simple object access protocol;Servers","","2","","14","IEEE","11 Aug 2022","","","IEEE","IEEE Conferences"
"Introducing QL4POMR CRUD BFF for Processing IPS Standard Patient Summary Report on FHIR","S. Mohammed; J. Fiaidhi; D. Sawyer","Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada","2022 IEEE 4th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)","17 Nov 2022","2022","","","48","53","Patient Summary Report is an essential clinical practice that have been standardized by the HL7 FHIR using the IPS metadata to ensure patient mobility, enforcing interoperability and providing higher quality of health services across boarder care boundaries. However, the general clinical practice on compiling patient case report is based on the SOAP note as an integral part of the electronic healthcare record (EHR). SOAP note is a concise description of the patient care journey which can be configured from EHR system to generate patient summary report that can be used for different purposes including patient self-management after hospital discharge or for referral purposes. SOAP is also used to summarize patient cases by clerkships in clinical rotations. This article presented a QL4POMR framework to integrate the two worlds of generating patient summaries based on SOAP which can be converted to the standard IPS format using reactive GraphQL API. The proposed conversion framework model the conversion using the backend for frontend pattern (BFF). Clinicians can generate patient summaries using the framework CRUD primitives.","","978-1-7281-9579-7","10.1109/ECBIOS54627.2022.9945031","NSERC(grant numbers:DDG-2021-00014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9945031","GraphQL;Problem Oriented Medical Record;SOAP;QL4POMR","Hospitals;Metadata;Electronic healthcare;IP networks;Simple object access protocol;Sustainable development;Standards","","2","","6","IEEE","17 Nov 2022","","","IEEE","IEEE Conferences"
"Clinical flows and decision support systems for co-ordinated and integrated care in COPD","I. Chouvarda; V. Kilintzis; N. Beredimas; P. Natsiavas; E. Perantoni; I. Vogiatzis; V. Vaimakakis; N. Maglaveras","Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Laboratory of Computing and Medical Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece",2016 IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI),"21 Apr 2016","2016","","","477","480","WELCOME project aims at the development of a technical solution that will leverage integrated care of COPD and comorbidities via wearable technologies, user applications and cloud computing. This work focuses on the latter part and proposes technological approaches that will enable standardized cloud based data management and analytics in a challenging multimorbid health scenario. WELCOME cloud approach encompasses the data model and semantics binding to HL7-FHIR, the persistent data storage for performance and scalability, and the orchestration in a loose coupling with the feature extraction services. While DSS is currently being built on existing clinical knowledge combining the calculated features, the richness of new features and their solid semantics will enable the generation of new knowledge towards a learning health system. This can leverage coordinated care for the management of COPD and comorbidities.","2168-2208","978-1-5090-2455-1","10.1109/BHI.2016.7455938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7455938","","Decision support systems;Cloud computing;Ontologies;Feature extraction;Resource description framework;Biomedical monitoring;Medical diagnostic imaging","","2","","10","IEEE","21 Apr 2016","","","IEEE","IEEE Conferences"
"Building a UI Based Tool for Configuration Management","H. Suryawanshi; P. R. Deshmukh","Department of Computer Engineering, College of Engineering Pune, Pune, India; Department of Computer Engineering, College of Engineering Pune, Pune, India",2022 International Conference on Industry 4.0 Technology (I4Tech),"24 Nov 2022","2022","","","1","4","For exchanging the healthcare data among two hospitals X and Y, the standard used for exchange is FHIR(Fast Health Interoperability Resources) and services for this exchange are provided by Team ABC. These services has different function-alities and some configuration files related to it in JSON Format. The files related are called as App Settings, Auth Configurations and Log Settings. Developers or clients working on these files might have to modify these existing configurations or add some new configurations to these files. These configurations are used for deployment of the services either on developer side or client side in a docker environment. Before, there was no way to validate these modifications or additions in Team ABC, which left a huge possibility of developer handling these configurations incorrectly. These incorrectly made changes can create problems when the services are deployed and will take a lot of time to make correct changes. The proposed tool will be able to generate the validated configurations in JSON format using an UI(User Interface) for ease of use, which will help the developer or client to correctly configure the files. The basic smoke testing and regression testing is done on the deployed services to test if there are any failures due to incorrect configurations. The tool is aimed to eliminate or reduce the possible manual errors during configuration of JSON files.","","978-1-6654-7196-1","10.1109/I4Tech55392.2022.9952529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9952529","Configurations;User Interface;Docker;Smoke Testing;JSON","Hospitals;Buildings;Configuration management;Manuals;Fourth Industrial Revolution;Standards;Interoperability","","1","","8","IEEE","24 Nov 2022","","","IEEE","IEEE Conferences"
"Reactive Server Interface Design for Real-Time Data Exchange in Multiple Data Source and Clients","D. -c. Jeon; D. -h. Lee; H. Hwang","Dept. Computer Engineering, Gachon University, Gyeonggi-do, Rep. of Korea; Dept. Computer Engineering, Gachon University, Gyeonggi-do, Rep. of Korea; Dept. Computer Engineering, Gachon University, Gyeonggi-do, Rep. of Korea",2018 International Conference on Information and Communication Technology Convergence (ICTC),"18 Nov 2018","2018","","","556","558","Various types of data are generated through IoT sensors or wearable devices as well as existing mobile and PC devices, and the amount of data to be processed in real-time has increased to quickly show information changes to users. Reactive Programming is a method for asynchronous programming among developers. It can process many threads efficiently with a small quantity of system resources and can process partial data changes in real-time without changing the whole system. In this paper, we propose an interface design for real-time data exchange server based on HL7 FHIR medical data.","2162-1233","978-1-5386-5041-7","10.1109/ICTC.2018.8539585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8539585","Reactive Programming;Real-Time;Data Exchange;Interface","Programming;Real-time systems;Servers;Standards;Computer architecture;Interoperability;Medical services","","1","","6","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"Cloud-based Digital Twins Storage in Emergency Healthcare","E. Wang; P. Tayebi; Y. -T. Song","Dept. of Computer and Information Science, Towson University, Towson, United States; Dept. of Computer and Information Science, Towson University, Towson, United States; Dept. of Computer and Information Science, Towson University, Towson, United States","2023 IEEE/ACIS 21st International Conference on Software Engineering Research, Management and Applications (SERA)","3 Aug 2023","2023","","","331","335","In this paper, we explore the potential of utilizing Digital Twin (DT) technology for real-time data storage and processing in emergency healthcare. Focusing on Internet of Things (IoT) and cloud computing technologies, we investigate various enabling technologies, including cloud platforms, data transmission formats, and storage file formats, to develop a feasible DT storage solution for emergency healthcare. Through our analysis, we find Amazon AWS to be the most suitable cloud platform due to its sophisticated real-time data processing and analytical tools. Additionally, we determine that the MQTT protocol is suitable for real-time medical data transmission, and FHIR is the most appropriate medical file storage format for emergency healthcare situations.We propose a cloud-based DT storage solution, in which real-time medical data is transmitted to AWS IoT Core, processed by Kinesis Data Analytics, and stored securely in AWS HealthLake. Despite the feasibility of the proposed solution, challenges such as insufficient access control, lack of encryption, and vendor conformity must be addressed for successful practical implementation. Future work may involve incorporating Hyperledger Fabric technology and HTTPS protocol to enhance security, while the maturation of DT technology is expected to resolve vendor conformity issues. By addressing these challenges, our proposed DT storage solution has the potential to improve data accessibility and decision-making in emergency healthcare settings.","2770-8209","979-8-3503-4588-9","10.1109/SERA57763.2023.10197705","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10197705","digital twins;cloud computing;storage;real time data stream;emergency healthcare","Cloud computing;Protocols;Memory;Focusing;Medical services;Real-time systems;Digital twins","","1","","7","IEEE","3 Aug 2023","","","IEEE","IEEE Conferences"
"Un enfoque de arquitectura de microservicio para mHealth orientado al monitoreo ambultarorio","C. M. -D. L. Cruz; L. F. J. Correia; M. Vargas-Lombardo","Maestría de Ciencias de la Computación Móvil Universidad Tecnológica de Panamá, SENACYT Panamá, Panamá; Profesor asistente invitado Instituto Politécnico de Leiria, Leiría, Portugal; GISES Universidad Tecnológica de Panamá Panamá, Panamá",2023 18th Iberian Conference on Information Systems and Technologies (CISTI),"15 Aug 2023","2023","","","1","7","Los sistemas de historia clínica electrónica (EHR-S) suelen construirse con diseños monolíticos. Cuando se trata de interoperabilidad, una arquitectura de microservicios es complejo y requiere de un mayor esfuerzo en su implementación. Sin embargo, los microservicios construidos con High level 7 Fast Healthcare Interoperability Resources (HL7 FHIR) como estrategia de interoperabilidad son una solución novedosa e importante para el desarrollo de una arquitectura interoperable. En este documento se mostrará la construcción de un prototipo basado en una arquitectura de microservicios para operar en un escenario real de registro de una colección de electrocardiograma (ECG) ambulatorio. En el prototipo propuesto se han creado dos alternativas, el primer paso de la propuesta es una arquitectura distribuida y escalable para mHealth, como segundo paso, se presenta el escenario de desarrollo de consultas y registro de información basado en microservicios Patient, lo que permite comunicar de una forma sincrónica dentro de un esquema distribuido. En general el estilo arquitectónico distribuido basado en microservicios no solo separa los dominios de información, sino que también pude aceptar datos de muchas fuentes manteniendo la información de una forma segura para el contexto de salud digital en la computación móvil. Este prototipo ofrece un enfoque dentro de un entorno hospitalario de un PHR móvil interoperable que se ajuste al modelo funcional HL7 PHR, ya que enfatiza la importancia del estándar HL7 a la vez que implica el potencial para futuros estudios de interoperabilidad y ECG ambulatorio.","2166-0727","978-989-33-4792-8","10.23919/CISTI58278.2023.10211405","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10211405","ECG ambulatorio;sanidad;mhealth;arquitectura de microservicios;patrón de microservicios","Computational modeling;Medical services;Electrocardiography;Monitoring;Interoperability;Information systems","","","","0","","15 Aug 2023","","","IEEE","IEEE Conferences"
"Representing UMLS knowledge using FHIR Terminological Resources","R. Saripalle","School of Information Technology, Illinois State University, Normal, IL, USA",2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"6 Feb 2020","2019","","","1109","1112","Unified Medical Language System (UMLS) is a world-renowned medical terminology that integrates multiple semantic standards into a single system enabling interoperability between the semantic standards, which in turn allows applications to translate medical codes from one source to another. Currently, users need to comprehend the complex UMLS knowledge structure and require technical skills to utilize UMLS. There exists no terminology service that expresses the UMLS captured knowledge in an interoperable format that is agnostic to UMLS knowledge structure, hides its complexity, and easy to comprehend. Thus, the goal of this work is to understand how the FHIR standard can be used for an interoperable representation of the knowledge captured by UMLS. This work provides the foundation to build a terminological service that allows interoperable access to UMLS knowledge hiding its complexity and structural details.","","978-1-7281-1867-3","10.1109/BIBM47256.2019.8983305","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8983305","UMLS;FHIR;semantic interoperability;terminology service","","","","","9","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
